oem,model,battery_charging,platform_cpu,platform_gpu,body_sim,network_technology,display_type,main_camera_video,selfie_camera_video,body_weight,display_resolution,display_size,sound_3.5mm_jack,platform_os,platform_chipset,memory,ram,removability,battery_capacity,misc_price
Huawei,nova 7 SE,40,8,Mali-G57,"Dual SIM (Nano-SIM, dual stand-by)",5G,LTPS IPS LCD,4K,1080p,189,1080 x 2400 ,6.5,Yes,Android,Kirin 820 5G,128,8,Non-removable,4000,320
Huawei,P40 Pro+,40,8,Mali-G76,"Dual SIM (Nano-SIM, dual stand-by)",5G,OLED,4K,4K,226,1200 x 2640 ,6.58,No,Android,Kirin 990 5G,256,8,Non-removable,4200,1400
Huawei,P40 Pro,40,8,Mali-G76,"Dual SIM (Nano-SIM, dual stand-by)",5G,OLED,4K,4K,209,1200 x 2640 ,6.58,No,Android,Kirin 990 5G,128,8,Non-removable,4200,799.99
Huawei,P40,22.5,8,Mali-G76,No,5G,OLED,4K,4K,175,1080 x 2340 ,6.1,No,Android,Kirin 990 5G,128,6,Non-removable,3800,528.99
Huawei,P40 lite E,10,8,Mali-G51,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,176,720 x 1560 ,6.39,Yes,Android,Kirin 710F,64,4,Non-removable,4000,160
Huawei,P40 lite,40,8,Mali-G52,"Dual SIM (Nano-SIM, dual stand-by)",LTE,LTPS IPS LCD,1080p,1080p,183,1080 x 2310 ,6.4,Yes,Android,Kirin 810,128,6,Non-removable,4200,206
Huawei,P30 lite New Edition,18,8,Mali-G51,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,152.9,1080 x 2312 ,6.15,Yes,Android,Kirin 710,256,6,Non-removable,3340,227.21
Huawei,Y7p,10,8,Mali-G51,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,176,720 x 1560 ,6.39,Yes,Android,Kirin 710F,64,4,Non-removable,4000,140
Huawei,nova 7i,40,8,Mali-G52,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,LTPS IPS LCD,1080p,1080p,183,1080 x 2310 ,6.4,Yes,Android,Kirin 810,128,8,Non-removable,4200,258.48
Huawei,Y6s (2019),21.82167235,8,PowerVR GE8320,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,150,720 x 1560 ,6.09,Yes,Android,Mediatek MT6765 Helio P35,32,3,Non-removable,3020,107.99
Huawei,P smart Pro 2019,10,8,Mali-G51,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,LTPS IPS LCD,1080p,1080p,206,1080 x 2340 ,6.59,Yes,Android,Kirin 710F,128,6,Non-removable,4000,290
Huawei,nova 6 5G,40,8,Mali-G76,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",5G,LTPS IPS LCD,4K,4K,212,1080 x 2400 ,6.57,Yes,Android,Kirin 990,128,8,Non-removable,4200,540
Huawei,nova 6,40,8,Mali-G76,"Dual SIM (Nano-SIM, dual stand-by)",LTE,LTPS IPS LCD,4K,4K,197,1080 x 2400 ,6.57,Yes,Android,Kirin 990,128,8,Non-removable,4100,359.99
Huawei,nova 6 SE,40,8,Mali-G52,"Dual SIM (Nano-SIM, dual stand-by)",LTE,LTPS IPS LCD,1080p,1080p,183,1080 x 2310 ,6.4,Yes,Android,Kirin 810,128,8,Non-removable,4200,280
Huawei,Y9s,10,8,Mali-G51,"Dual SIM (Nano-SIM, dual stand-by)",LTE,LTPS IPS LCD,1080p,1080p,206,1080 x 2340 ,6.59,Yes,Android,Kirin 710F,128,6,Non-removable,4000,239.88
Huawei,nova 5z,20,8,Mali-G52,"Dual SIM (Nano-SIM, dual stand-by)",LTE,LTPS IPS LCD,4K,1080p,178,1080 x 2340 ,6.26,Yes,Android,Kirin 810,64,6,Non-removable,4000,200
Huawei,Enjoy 10s,10,8,Mali-G51,"Dual SIM (Nano-SIM, dual stand-by)",LTE,OLED,1080p,1080p,163,1080 x 2400 ,6.3,Yes,Android,Kirin 710F,64,6,Non-removable,4000,200
Huawei,Enjoy 10,10,8,Mali-G51,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,176,720 x 1560 ,6.39,Yes,Android,Kirin 710F,64,4,Non-removable,4000,150
Huawei,Mate 30 RS Porsche Design,40,8,Mali-G76,"Dual SIM (Nano-SIM, dual stand-by)",5G,OLED,4K,1080p,198,1176 x 2400 ,6.53,No,Android,Kirin 990 5G,512,12,Non-removable,4500,1700
Huawei,Mate 30 Pro 5G,40,8,Mali-G76,"Dual SIM (Nano-SIM, dual stand-by)",5G,OLED,4K,1080p,198,1176 x 2400 ,6.53,No,Android,Kirin 990 5G,128,8,Non-removable,4500,864.99
Huawei,Mate 30 Pro,40,8,Mali-G76,"Dual SIM (Nano-SIM, dual stand-by)",LTE,OLED,4K,1080p,198,1176 x 2400 ,6.53,No,Android,Kirin 990,128,8,Non-removable,4500,713.35
Huawei,Mate 30 5G,40,8,Mali-G76,No,5G,OLED,4K,1080p,196,1080 x 2340 ,6.62,Yes,Android,Kirin 990 5G,128,6,Non-removable,4200,650
Huawei,Mate 30,40,8,Mali-G76,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,OLED,4K,1080p,196,1080 x 2340 ,6.62,Yes,Android,Kirin 990,128,6,Non-removable,4200,550
Huawei,nova 5i Pro,20,8,Mali-G52,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,LTPS IPS LCD,4K,1080p,178,1080 x 2340 ,6.26,Yes,Android,Kirin 810,128,6,Non-removable,4000,290
Huawei,Enjoy 10 Plus,10,8,Mali-G51,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,163.5,1080 x 2340 ,6.59,Yes,Android,Kirin 710F,128,4,Non-removable,4000,190
Huawei,nova 5T,22.5,8,Mali-G76,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,174,1080 x 2340 ,6.26,No,Android,Kirin 980,128,6,Non-removable,3750,239
Huawei,nova 5 Pro,40,8,Mali-G76,"Dual SIM (Nano-SIM, dual stand-by)",LTE,OLED,4K,1080p,171,1080 x 2340 ,6.39,No,Android,Kirin 980,128,8,Non-removable,3500,390
Huawei,nova 5,40,8,Mali-G52,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,OLED,1080p,1080p,171,1080 x 2340 ,6.39,No,Android,Kirin 810,128,8,Non-removable,3500,360
Huawei,nova 5i,10,8,Mali-G51,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,178,1080 x 2310 ,6.4,Yes,Android,Kirin 710F,128,6,Non-removable,4000,260
Huawei,Y9 Prime (2019),21.82167235,8,Mali-G51,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",LTE,LTPS IPS LCD,1080p,1080p,196.8,1080 x 2340 ,6.59,Yes,Android,Kirin 710F,64,4,Non-removable,4000,185.868
Huawei,P20 lite (2019),18,8,Mali-G51,Nano-SIM,LTE,LTPS IPS LCD,1080p,1080p,178,1080 x 2310 ,6.4,Yes,Android,Kirin 710,64,4,Non-removable,4000,280
Huawei,P Smart Z,21.82167235,8,Mali-G51,Nano-SIM,LTE,LTPS IPS LCD,1080p,1080p,196.8,1080 x 2340 ,6.59,Yes,Android,Kirin 710F,64,4,Non-removable,4000,280
