oem,model,battery_charging,platform_cpu,platform_gpu,body_sim,network_technology,display_type,main_camera_video,selfie_camera_video,body_weight,display_resolution,display_size,sound_3.5mm_jack,platform_os,platform_chipset,misc_price,memory,ram,removability,battery_capacity
vivo,X30,33,8,Mali-G76,Dual-Sim,5G,Super AMOLED,4K,1080p,196.5,1080 x 2400 ,6.44,Yes,Android,Exynos 980,420,128,8,Non-removable,4350
vivo,V17,18,8,Adreno 612,Single-Sim,LTE,Super AMOLED,4K,1080p,176,1080 x 2400 ,6.44,Yes,Android,Qualcomm SDM675 Snapdragon 675,329,128,8,Non-removable,4500
vivo,iQOO Neo 855 Racing,33,8,Adreno 640,Dual-Sim,LTE,Super AMOLED,4K,1080p,198.5,1080 x 2340 ,6.38,Yes,Android,Qualcomm SM8150 Snapdragon 855+,330,128,8,Non-removable,4500
vivo,Z5i,18,8,Adreno 612,Dual-Sim,LTE,IPS LCD,4K,1080p,193,1080 x 2340 ,6.53,Yes,Android,Qualcomm SDM675 Snapdragon 675,230,128,8,Non-removable,5000
vivo,V17 (Russia),18,8,Adreno 610,Dual-Sim,LTE,Super AMOLED,1080p,1080p,186.7,1080 x 2340 ,6.38,Yes,Android,Qualcomm SDM665 Snapdragon 665,330,128,8,Non-removable,4500
vivo,S1 Pro,18,8,Adreno 610,Single-Sim,LTE,Super AMOLED,1080p,1080p,186.7,1080 x 2340 ,6.38,Yes,Android,Qualcomm SDM665 Snapdragon 665,20180,128,8,Non-removable,4500
vivo,Y3 Standard,10,8,Adreno 505,Dual-Sim,LTE,IPS LCD,1080p,1080p,191.5,720 x 1544 ,6.35,Yes,Android,Qualcomm SDM439 Snapdragon 439,130,64,3,Non-removable,5000
vivo,Y19,18,8,Mali-G52,Single-Sim,LTE,IPS LCD,1080p,1080p,193,1080 x 2340 ,6.53,Yes,Android,Mediatek MT6768 Helio P65,270,128,4,Non-removable,5000
vivo,iQOO Neo 855,33,8,Adreno 640,Dual-Sim,LTE,Super AMOLED,4K,1080p,198.5,1080 x 2340 ,6.38,Yes,Android,Qualcomm SM8150 Snapdragon 855,260,64,6,Non-removable,4500
vivo,Y11 (2019),10,8,Adreno 505,Dual-Sim,LTE,IPS LCD,1080p,1080p,190.5,720 x 1544 ,6.35,Yes,Android,Qualcomm SDM439 Snapdragon 439,10990,32,3,Non-removable,5000
vivo,Y3 (4GB+64GB),18,8,PowerVR GE8320,Dual-Sim,LTE,IPS LCD,1080p,1080p,190,720 x 1544 ,6.35,Yes,Android,Mediatek MT6765 Helio P35,140,64,4,Non-removable,5000
vivo,Y3,18,8,PowerVR GE8320,Dual-Sim,LTE,IPS LCD,1080p,1080p,190.5,720 x 1544 ,6.35,Yes,Android,Mediatek MT6765 Helio P35,190,128,4,Non-removable,5000
vivo,NEX 3 5G,44,8,Adreno 640,Dual-Sim,5G,Super AMOLED,4K,1080p,218.5,1080 x 2256 ,6.89,Yes,Android,Qualcomm SM8150 Snapdragon 855+,730,256,8,Non-removable,4500
vivo,V17 Pro,18,8,Adreno 612,Dual-Sim,LTE,Super AMOLED,4K,1080p,201.8,1080 x 2400 ,6.44,Yes,Android,Qualcomm SDM675 Snapdragon 675,399.9,128,8,Non-removable,4100
vivo,NEX 3,44,8,Adreno 640,Dual-Sim,LTE,Super AMOLED,4K,1080p,217.3,1080 x 2256 ,6.89,Yes,Android,Qualcomm SM8150 Snapdragon 855+,640,128,8,Non-removable,4500
vivo,Z1x,22.5,8,Adreno 616,Dual-Sim,LTE,Super AMOLED,4K,1080p,189.6,1080 x 2340 ,6.38,Yes,Android,Qualcomm SDM712 Snapdragon 712,239.9,64,6,Non-removable,4500
vivo,iQOO Pro 5G,44,8,Adreno 640,Dual-Sim,5G,Super AMOLED,4K,1080p,217,1080 x 2340 ,6.41,Yes,Android,Qualcomm SM8150 Snapdragon 855+,500,128,8,Non-removable,4500
vivo,iQOO Pro,44,8,Adreno 640,Dual-Sim,LTE,Super AMOLED,4K,1080p,215,1080 x 2340 ,6.41,Yes,Android,Qualcomm SM8150 Snapdragon 855+,410,128,8,Non-removable,4500
vivo,Y90,,4,PowerVR GE8320,Dual-Sim,LTE,IPS LCD,1080p,720p,163.5,720 x 1520 ,6.22,Yes,Android,Mediatek MT6761 Helio A22,90,16,2,Non-removable,4030
vivo,V17 Neo,18,8,Mali-G52,Dual-Sim,LTE,Super AMOLED,1080p,1080p,179,1080 x 2340 ,6.38,Yes,Android,Mediatek MT6768 Helio P65,280,128,6,Non-removable,4500
vivo,Z1Pro,18,8,Adreno 616,Dual-Sim,LTE,IPS LCD,4K,1080p,201,1080 x 2340 ,6.53,Yes,Android,Qualcomm SDM712 Snapdragon 712,199,64,4,Non-removable,5000
